Timestamp,CPU usage [MHZ],CPU capacity provisioned
2013-07-03 08:00:00,2217485.6919277683,38402493.21843592
2013-07-03 09:00:00,2224585.2730908734,38402493.21434392
2013-07-03 10:00:00,1637616.3237104428,38402493.20373995
2013-07-03 11:00:00,1716834.8776976948,38402493.20312395
2013-07-03 12:00:00,1932034.2761371303,38232165.239619926
2013-07-03 13:00:00,2597640.815086903,38402493.252171926
2013-07-03 14:00:00,2371099.060706358,38402493.270859934
2013-07-03 15:00:00,2355470.7491342607,38402493.27226794
2013-07-03 16:00:00,2570516.6828554375,38402493.272663936
2013-07-03 17:00:00,3073643.3799279467,38402493.27693596
2013-07-03 18:00:00,2491849.5556259356,38402493.27725995
2013-07-03 19:00:00,2521428.765051178,38402493.27725995
2013-07-03 20:00:00,2951459.2684784704,38402493.27625195
2013-07-03 21:00:00,2506806.783911122,38402493.265163936
2013-07-03 22:00:00,2420717.2736521643,38402493.265163936
2013-07-03 23:00:00,2091091.2070025795,38402493.267019935
2013-07-04 00:00:00,2109585.7529721507,38402493.265163936
2013-07-04 01:00:00,1399803.8078953407,38402493.265163936
2013-07-04 02:00:00,1325889.422810009,38402493.265163936
2013-07-04 03:00:00,1292092.0948208303,38402493.265163936
2013-07-04 04:00:00,1257235.9689094925,38402493.265163936
2013-07-04 05:00:00,1207087.972969608,38402493.265163936
2013-07-04 06:00:00,1482290.5767267193,38402493.265163936
2013-07-04 07:00:00,2595051.7080805018,38402493.26110494
2013-07-04 08:00:00,1417297.484129506,38402493.23395997
2013-07-04 09:00:00,1482084.304333633,38402493.25610398
2013-07-04 10:00:00,2185077.1434224043,38402493.233968966
2013-07-04 11:00:00,3056284.050459278,38329493.22918996
2013-07-04 12:00:00,5778387.600575986,38402493.21634297
2013-07-04 13:00:00,6450404.786539795,38402493.19422198
2013-07-04 14:00:00,6329386.574890266,38402493.179831974
2013-07-04 15:00:00,4714098.540551317,38402493.17490398
2013-07-04 16:00:00,1902244.487339399,38402493.13717398
2013-07-04 17:00:00,3817077.6502843075,38402493.13570398
2013-07-04 18:00:00,5308706.514298595,38402493.13564798
2013-07-04 19:00:00,5594488.690560846,38402493.13564798
2013-07-04 20:00:00,5554330.344838187,38402493.13564798
2013-07-04 21:00:00,4045078.790613477,38402493.13564798
2013-07-04 22:00:00,2322145.611685047,38402493.13564798
2013-07-04 23:00:00,1962522.2712436519,38402493.13564798
2013-07-05 00:00:00,1980812.6812163726,38402493.13399599
2013-07-05 01:00:00,1334636.1297789537,38402493.13281599
2013-07-05 02:00:00,1235191.2577030342,38402493.13281599
2013-07-05 03:00:00,1227692.8567910022,38402493.13281599
2013-07-05 04:00:00,1207713.9462824175,38402493.13281599
2013-07-05 05:00:00,1122555.7018122755,38402493.13281599
2013-07-05 06:00:00,1114236.8156646395,38402493.13281599
2013-07-05 07:00:00,3504429.852135649,38069693.27308
2013-07-05 08:00:00,7384027.667023268,40399292.82545392
