Timestamp,Timestamp [ms],CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory capacity provisioned [KB],Memory usage [KB],Disk read throughput [KB/s],Disk write throughput [KB/s],Network received throughput [KB/s],Network transmitted throughput [KB/s],weekday,weekend,month,day,CPU usage prev,CPU_diff,received_prev,received_diff,transmitted_prev,transmitted_diff
2013-09-10 17:00:00,8421920154822,16980,45804235.91497866,4927490.966196928,38103.75476190487,52764893947.466675,3374174620.004393,361928.2166666669,436720.11254579056,1164415.6357142811,321519.5749084281,6108,0.0,54972,61080,38309.51448412703,-205.75972222222074,1208856.5023809527,-44440.86666666703,316596.1082417608,4923.46666666673
2013-09-10 18:00:00,8421942146616,16980,45804235.99333164,4003221.4272387833,33718.781845238285,52765602054.06667,2483061491.6996326,509612.37878787855,364172.8507326031,886388.4725274746,448352.20989011246,6108,0.0,54972,61080,34113.073511904964,-394.2916666666671,804409.1391941427,81979.3333333334,445957.7432234456,2394.466666666673
2013-09-10 19:00:00,8421964137412,16980,45804235.88194564,6791752.930040026,43844.81439810199,52757189611.64445,6296996893.585345,320972.51382783975,450019.72545787954,1769949.2792124639,473932.694291823,6108,0.0,54972,61080,42921.99465603849,922.8197420634962,1907683.1458791276,-137733.86666666635,462278.87206960085,11653.822222222378
2013-09-10 20:00:00,8398545775523,16950,45718823.70492868,4151827.6805278617,31273.911593268014,52693024728.53331,6986225968.52827,462944.3714285714,571619.7509157528,1081428.503479853,366201.971794876,6091,0.0,54819,60910,32686.151871045764,-1412.2402777777843,1038172.4368131865,43256.066666666964,307113.26068376383,59088.711111111086
2013-09-10 21:00:00,8422008119004,16980,45804235.77168164,2830881.6897472646,24686.536915515157,52773126259.46667,2692948600.6250353,326571.35904096,429175.48952159286,532246.6050560523,413924.6528305066,6108,0.0,54972,61080,24308.712113927788,377.82480158730465,580440.4955322437,-48193.89047619048,487860.8385447914,-73936.18571428547
2013-09-10 22:00:00,8422030110299,16980,45804235.75225764,3768339.8162512626,29534.962003968332,52878976253.33333,2613145365.4456644,778614.567857142,983857.8121489601,402938.0590354078,290504.8944139224,6108,0.0,54972,61080,29812.89543650798,-277.9334325396831,405130.2225274694,-2192.163492063523,286367.6721917002,4137.222222222187
2013-09-10 23:00:00,8422052102592,16980,45804235.74838765,2434748.119979637,23694.193452381045,52936765957.066666,2342690025.28058,1346336.1244200193,900662.7935897406,355401.4344322335,374906.00036630203,6108,0.0,54972,61080,24226.038988095348,-531.8455357142861,362097.8471306458,-6696.412698412631,376443.6368742385,-1537.6365079365057
2013-09-11 00:00:00,8422074091392,16980,45804235.752259664,3460167.154251667,29105.13538961042,52949976285.04761,2718424849.8901153,1824593.503305025,1325816.1611721467,446615.06300366507,635599.0146520113,12216,0.0,54972,67188,28160.52913961039,944.6062499999958,424607.66300366423,22007.39999999999,606860.3479853456,28738.66666666671
2013-09-11 01:00:00,8422096081689,16980,45804235.75261167,2868000.641872623,25746.975793650916,52960507337.600006,2662840883.6424875,1663380.819047615,941309.0824175823,350337.5249084234,429517.32417582633,12216,0.0,54972,67188,26770.793750000146,-1023.81795634921,363418.6201465192,-13081.095238095199,445065.7575091603,-15548.43333333332
2013-09-11 02:00:00,8422118068992,16980,45804235.764067665,2453279.0213782964,23726.511011904848,52967124341.06669,2352128940.852006,1182044.4952380934,1212270.4329670249,485245.3963369964,670419.7575091578,12216,0.0,54972,67188,22894.627281746165,831.8837301587308,468864.13919413823,16381.25714285717,638670.6908424913,31749.066666666702
